Stock Symbols,Variances,Returns,Max_Drawdown,Log_Returns,Log_Variances,Volatility,Sharpe,Cluster_labels
AAPL,0.08088535322356354,0.25085807430997614,0.3336051269846558,0.2238297752566743,0.07778047681029199,0.28440350423924726,0.8820498712946523,0
ABBV,0.06666454890455116,0.18428172790739308,0.20736385045864267,0.16913645402491648,0.06453653573361696,0.2581947886858896,0.7137313996355812,0
ACHR,0.7591804289824721,0.48779441183399297,0.541055713246641,0.3972947627753045,0.5648480352434121,0.871309605698498,0.5598405074886619,2
ADBE,0.11681205469151418,-0.31795809895617955,0.5794390967358595,-0.38266418454526596,0.11047824692501801,0.3417777855442249,-0.9303065102662643,4
AEP,0.034398890752694734,0.281499293393547,0.13101026616947695,0.24803071543170566,0.03382047611675195,0.1854693795554801,1.5177669438924346,0
AI,0.4154610184638955,-0.3956185199629898,0.814857939834209,-0.5035496909507581,0.3474552861329598,0.6445626567401307,-0.6137782197371262,4
AMAT,0.20710858626410272,0.3841350487618124,0.49881916573300866,0.32507543102012193,0.18822790183368865,0.4550918437679396,0.8440824726309324,2
AMC,0.7703566007864429,-0.3521960945184714,0.8379562000352094,-0.4341672434246613,0.5711809956643812,0.8776996073751218,-0.4012717922613193,4
AMD,0.3101823989967509,0.15758470090247606,0.5984906731343865,0.14633568002672054,0.27016636339602773,0.5569402113304003,0.2829472494471946,4
AMZN,0.09993328062515862,0.1469064988271968,0.3087663843187603,0.1370683168010909,0.09524952398766948,0.31612225582068504,0.4647141924437203,0
ASTS,1.6739033886102668,2.4525296594612573,0.5409326421286087,1.2391071969845426,0.9835393481131636,1.2937941832495101,1.8956103615348248,1
AVGO,0.28542714605738273,0.641889023560857,0.41149674707459044,0.49584742260785736,0.2510910724946016,0.5342538217527159,1.2014682860948462,2
BAC,0.064625812433679,0.20703374180171974,0.27509391822939483,0.18816589682136037,0.06262338759604485,0.25421607430231274,0.8144006722230949,0
BITF,0.9691605041546887,0.4480601199887366,0.7828571445871644,0.37022481243085914,0.6776073119034336,0.9844594984836545,0.45513311688177693,1
BMY,0.08509938385789245,0.1407998822363769,0.2991708782716356,0.13172966744890674,0.08167158082328721,0.2917179868604136,0.4826575274007678,0
BRK-B,0.029761663746717584,0.11462112932852475,0.14948129726959855,0.10851455284471676,0.02932738104506231,0.17251569130579858,0.6644098775070214,0
BTBT,1.031930250353314,0.3373850432392217,0.7273550723855227,0.29071624711417815,0.7089862035135716,1.015839677485239,0.332124301419723,1
BYND,2.8897440806943697,-0.13563770234929728,0.9413754241673546,-0.14576327208604292,1.0986122886681098,1.6999247279495553,-0.07979041666915636,1
C,0.09356409806112957,0.3983067837077714,0.31312766138733805,0.3352620644494324,0.08944217675660963,0.3058824906089421,1.302156206832348,0
CL,0.0389758822956051,0.04737184458190368,0.29045853627638085,0.046284021254954025,0.03823549942766361,0.19742310476640038,0.23995086409949895,0
CLOV,0.586276132917361,0.7726372784804132,0.5912863156742995,0.5724684254972864,0.4613892145631494,0.7656867067654767,1.0090775661292308,2
CMCSA,0.06635758198094668,-0.07182772775896731,0.391678041721979,-0.07453792523380527,0.06424871225417075,0.2575996544658915,-0.278834720907896,0
COIN,0.6357993038224324,0.1815356396403625,0.6638953815137102,0.1668149819299233,0.49213155573020767,0.7973702426241103,0.22766793885226608,2
COST,0.04046729122023235,0.17504680023206443,0.20742483756545893,0.16130797678766517,0.039669930720952276,0.20116483594364187,0.870165998003276,0
CRM,0.12674070912438282,-0.1595611477897927,0.5119806168109409,-0.1738310804632739,0.11932913682521043,0.3560066138773026,-0.4481971445754806,4
CRWD,0.21635329498033606,0.2565363636590548,0.4443707693970673,0.22835901801971503,0.19585727998094407,0.4651379311347722,0.551527507191677,2
CSCO,0.05558296626050452,0.27993085542501667,0.17457816886545124,0.24680605727323057,0.05409318896937959,0.2357604001110121,1.1873531572444147,0
CVNA,0.4977638448386468,0.9496742313368571,0.4302386185300414,0.667662297766543,0.40397322569724226,0.7055238088389695,1.3460555397835101,2
D,0.04528711639982702,0.21109220988478833,0.16587818418269706,0.19152260525994844,0.044291600214928194,0.2128076981686213,0.9919387865260697,0
DASH,0.16224502735210325,0.21412170994673252,0.43089372508139023,0.1940209429224021,0.1503535031127262,0.4027965086145897,0.5315878002100856,0
DIS,0.07613867644335666,-0.006567020571062741,0.328604494833335,-0.0065886783206496125,0.07337933488802544,0.2759323765768647,-0.023799383937946145,0
DUK,0.026800443089880607,0.208268034999868,0.11586560555381338,0.18918795817820577,0.026447601539765515,0.1637084087329683,1.2721889890187792,0
ED,0.033306955186405994,0.15990506569461937,0.17356466483415342,0.14833816185077286,0.03276429525820342,0.18250193200732423,0.876182865221405,0
ENVX,0.9411639477626149,0.15592621052020814,0.7351174196561914,0.1449019364829304,0.663287766236863,0.9701360460072674,0.1607261282187633,1
EXC,0.03405599290855185,0.19431358562658424,0.11593088436746284,0.17757161501612756,0.03348892636916738,0.18454265877718315,1.052946711151477,0
FUBO,3.7022346777799915,0.752822049445536,0.7875457951434217,0.5612270887758718,1.0986122886681098,1.9241191953150905,0.39125541249135304,1
GILD,0.07033653624516598,0.40429960376177615,0.16880872662991742,0.3395386758312913,0.06797311887810903,0.2652103622507348,1.5244487445009551,0
GME,1.2703419622476788,0.8258440974431,0.6242051344651441,0.6020423992523481,0.819930464309592,1.1270944779598908,0.7327194956521549,1
GNS,2.158580500470432,-0.0884040831533606,0.9629251716816473,-0.09255846072700218,1.0986122886681098,1.469210842755536,-0.060171134448992275,1
GOOG,0.0864875432042763,0.4467683649879041,0.2935005797354079,0.36933235535212416,0.08295005558122878,0.294087645446517,1.519167404361955,0
GOOGL,0.08872707576448424,0.4524151095312768,0.29805878729523916,0.3732277636513265,0.08500919340789545,0.29787090452826076,1.5188294749625455,0
HD,0.050196803441131865,0.013689410509333318,0.21791626994908472,0.01359655697632841,0.04897757845497463,0.22404643144029737,0.061100774608772085,0
HIMS,1.0380768644082772,0.8036269341605943,0.7887692623072275,0.5897996010087291,0.7120066496969117,1.0188605716231625,0.7887506461068798,1
HSY,0.07105453146625847,0.11776403482458457,0.2941676137480008,0.11133029237124838,0.068643706571151,0.2665605587221382,0.44179092131683817,0
HUT,1.015880434492696,1.4989796573474266,0.6481481341317709,0.9158825115025265,0.701056040162963,1.0079089415679852,1.4872173422883737,1
INTC,0.38211705672934304,0.22585225889199262,0.5885194330473059,0.20363632363913148,0.3236164227204522,0.6181561750313128,0.36536439821304384,2
INTU,0.1114367468955705,-0.1435596182459653,0.5540848575767651,-0.15497057046604187,0.10565354492656973,0.3338214296529965,-0.4300491385325198,4
IONQ,1.158889369699207,1.194609548535264,0.6422557163317296,0.7860041484879361,0.7695939087650379,1.076517240781218,1.1096984825513314,1
JNJ,0.032118482289481415,0.24795180305657405,0.14446251326995574,0.22150364985579593,0.03161346888942885,0.17921630028957025,1.3835337670510095,0
JOBY,0.6566654338140815,0.6351596370078506,0.5360470661441215,0.4917404368966745,0.50480680726354,0.8103489580508396,0.7838100249250916,2
JPM,0.06400103342684962,0.26286378772701713,0.24423929067744807,0.233381989355183,0.062036362184817076,0.25298425529437524,1.0390519655902932,0
KHC,0.05501557193846869,-0.11946946432912157,0.36349009131657084,-0.12723067172571342,0.053555526950350096,0.2345539851259592,-0.5093474078684469,0
KMB,0.0479540097282251,-0.054987195265631,0.31712542081717165,-0.056556801596735234,0.046839701088812774,0.21898403989383586,-0.25110138296968565,0
KO,0.02524608755526625,0.1680873753618601,0.15502984489342952,0.15536768928090633,0.02493266919425115,0.15889017450826293,1.0578840125392328,0
LCID,0.5906072157608093,-0.22032958331498226,0.7784037577814005,-0.2488839913063421,0.46411584003306566,0.7685097369329873,-0.28669719162477525,4
LLY,0.13706295702296928,0.21726102103506648,0.34475006347709486,0.19660327008369177,0.12844858440782866,0.3702201467005399,0.5868427825209699,0
LOW,0.05726348215340778,0.05523316208470638,0.24831206251120022,0.05376174922500489,0.05568394938507018,0.23929789416835195,0.23081340634718872,0
LYFT,0.3459861927380749,0.025450035249443434,0.5522682634973832,0.02513157501221374,0.29712697317443576,0.5882059101522824,0.04326722124035543,4
MA,0.04252678273404858,0.05919611329242884,0.16950902150929192,0.057510236719203515,0.041647365232803706,0.20622022872174442,0.28705289320720767,0
MARA,0.8139945944253224,-0.03546623958522678,0.7545587162528153,-0.03611044422688855,0.5955313717686165,0.9022164897768841,-0.039310121226001415,1
MCD,0.03292970661303141,0.09041287695936867,0.13019529524784412,0.08655641072092567,0.032399140012881376,0.18146544192498862,0.4982374384911379,0
MDB,0.4425097796254708,0.06431133679027895,0.6199843388682167,0.06232795788286433,0.36638449901351083,0.6652140855585297,0.09667765338474697,4
MDLZ,0.0437208899764302,-0.07958224964291027,0.2880551235637242,-0.08292763552547879,0.04279210695105816,0.20909540878850066,-0.3806025684830195,0
META,0.12304944441512698,0.2003748244876898,0.3415081259353967,0.18263386176142263,0.11604770365182544,0.35078404241801964,0.5712198967389419,0
MRK,0.07152480475163077,0.04086095055392314,0.43443390338661936,0.04004820775624528,0.06908268522176594,0.26744121737613813,0.15278479119564786,0
MSFT,0.05740328124208987,0.023619483881196758,0.2877879644018156,0.02334485978548629,0.05581616793723703,0.2395898187362933,0.09858300325855565,0
NEE,0.06968028396271395,0.30196416124149833,0.23830688410487721,0.2638740174793435,0.06735980378934318,0.2639702330997076,1.143932623370604,0
NET,0.2530257944519652,0.5239906259568984,0.4499716610138546,0.4213323062986203,0.22556126185683992,0.50301669400922,1.0416962939748753,2
NFLX,0.1083156679508966,0.2756490016998247,0.4335127747768328,0.2434550700442153,0.10284144662176513,0.3291134575657711,0.8375500769206258,0
NKE,0.14319836731977267,-0.20089636589695373,0.46463936887932833,-0.2242646368670399,0.13382991946575187,0.37841560131655866,-0.530888169509947,4
NVAX,1.2685343372855435,0.9054383129996684,0.7410586549289684,0.6447120676771707,0.8191339565669651,1.1262922965578446,0.8039105974238246,1
NVDA,0.24329006095734207,0.4774671429439497,0.3688102671544665,0.3903292317726354,0.21776114086239393,0.49324442313861194,0.9680132618747754,2
OKTA,0.1880768605796794,-0.05094952220837055,0.45396700337886925,-0.052293291279261474,0.17233591630530554,0.43367829157069804,-0.11748229781998387,4
